"Time","Buses.On.Route","RouteID"
"1372863240","0","11Y"
"1372863300","0","11Y"
"1372863360","0","11Y"
"1372863420","0","11Y"
"1372863480","0","11Y"
"1372863540","0","11Y"
"1372863600","0","11Y"
"1372863660","0","11Y"
"1372863720","0","11Y"
"1372863780","0","11Y"
"1372863840","0","11Y"
"1372863900","0","11Y"
"1372863960","0","11Y"
"1372864020","0","11Y"
"1372864080","0","11Y"
"1372864140","0","11Y"
"1372864200","0","11Y"
"1372864260","0","11Y"
"1372864320","0","11Y"
"1372864380","0","11Y"
"1372864440","0","11Y"
"1372864500","0","11Y"
"1372864560","0","11Y"
"1372864620","0","11Y"
"1372864680","0","11Y"
"1372864740","0","11Y"
"1372864800","0","11Y"
"1372864860","0","11Y"
"1372864920","0","11Y"
"1372864980","0","11Y"
"1372865040","0","11Y"
"1372865100","0","11Y"
"1372865160","0","11Y"
"1372865220","0","11Y"
"1372865280","0","11Y"
"1372865340","0","11Y"
"1372865400","0","11Y"
"1372865460","0","11Y"
"1372865520","0","11Y"
"1372865580","0","11Y"
"1372865640","0","11Y"
"1372865700","0","11Y"
"1372865760","0","11Y"
"1372865820","0","11Y"
"1372865880","0","11Y"
"1372865940","0","11Y"
"1372866000","0","11Y"
"1372866060","0","11Y"
"1372866120","0","11Y"
"1372866180","0","11Y"
"1372866240","0","11Y"
"1372866300","0","11Y"
"1372866360","0","11Y"
"1372866420","0","11Y"
"1372866480","0","11Y"
"1372866540","0","11Y"
"1372866600","0","11Y"
"1372866660","0","11Y"
"1372866720","0","11Y"
"1372866780","0","11Y"
"1372866840","0","11Y"
"1372866900","0","11Y"
"1372866960","0","11Y"
"1372867020","0","11Y"
"1372867080","0","11Y"
"1372867140","0","11Y"
"1372867200","0","11Y"
"1372867260","0","11Y"
"1372867320","0","11Y"
"1372867380","0","11Y"
"1372867440","0","11Y"
"1372867500","0","11Y"
"1372867560","0","11Y"
"1372867620","0","11Y"
"1372867680","0","11Y"
"1372867740","0","11Y"
"1372867800","0","11Y"
"1372867860","0","11Y"
"1372867920","0","11Y"
"1372867980","0","11Y"
"1372868040","0","11Y"
"1372868100","0","11Y"
"1372868160","0","11Y"
"1372868220","0","11Y"
"1372868280","0","11Y"
"1372868340","0","11Y"
"1372868400","0","11Y"
"1372868460","0","11Y"
"1372868520","0","11Y"
"1372868580","0","11Y"
"1372868640","0","11Y"
"1372868700","0","11Y"
