"DirectionNum","EndTime","RouteID","StartTime"
"0","2013-07-03T17:18:00","31","2013-07-03T16:34:00"
"0","2013-07-03T17:33:00","31","2013-07-03T16:48:00"
"0","2013-07-03T17:50:00","31","2013-07-03T17:05:00"
"0","2013-07-03T18:05:00","31","2013-07-03T17:20:00"
"0","2013-07-03T18:20:00","31","2013-07-03T17:35:00"
"0","2013-07-03T18:35:00","31","2013-07-03T17:50:00"
"0","2013-07-03T18:50:00","31","2013-07-03T18:05:00"
"0","2013-07-03T19:02:00","31","2013-07-03T18:20:00"
"0","2013-07-03T19:16:00","31","2013-07-03T18:34:00"
"0","2013-07-03T19:29:00","31","2013-07-03T18:47:00"
"0","2013-07-03T19:59:00","31","2013-07-03T19:17:00"
"0","2013-07-03T20:27:00","31","2013-07-03T19:45:00"
"0","2013-07-03T20:50:00","31","2013-07-03T20:15:00"
"0","2013-07-03T21:23:00","31","2013-07-03T20:48:00"
"0","2013-07-03T21:53:00","31","2013-07-03T21:18:00"
"0","2013-07-03T22:23:00","31","2013-07-03T21:48:00"
"0","2013-07-03T22:53:00","31","2013-07-03T22:18:00"
"0","2013-07-03T23:23:00","31","2013-07-03T22:51:00"
"0","2013-07-03T23:53:00","31","2013-07-03T23:21:00"
"0","2013-07-04T00:23:00","31","2013-07-03T23:51:00"
"1","2013-07-03T05:17:00","32","2013-07-03T04:15:00"
"1","2013-07-03T05:42:00","32","2013-07-03T04:40:00"
"1","2013-07-03T06:17:00","32","2013-07-03T05:15:00"
"1","2013-07-03T06:50:00","32","2013-07-03T05:43:00"
"1","2013-07-03T07:20:00","32","2013-07-03T06:05:00"
"1","2013-07-03T07:47:00","32","2013-07-03T06:25:00"
"1","2013-07-03T07:10:00","32v2","2013-07-03T06:45:00"
"1","2013-07-03T08:17:00","32","2013-07-03T06:55:00"
"1","2013-07-03T07:36:00","32v2","2013-07-03T07:11:00"
"1","2013-07-03T08:50:00","32","2013-07-03T07:23:00"
"1","2013-07-03T09:00:00","32v3","2013-07-03T07:38:00"
"1","2013-07-03T09:20:00","32","2013-07-03T07:53:00"
"1","2013-07-03T08:36:00","32c","2013-07-03T07:53:00"
"1","2013-07-03T08:51:00","32c","2013-07-03T08:08:00"
"1","2013-07-03T09:50:00","32","2013-07-03T08:23:00"
"1","2013-07-03T09:06:00","32c","2013-07-03T08:23:00"
"1","2013-07-03T09:22:00","32c","2013-07-03T08:38:00"
"1","2013-07-03T10:20:00","32","2013-07-03T08:49:00"
"1","2013-07-03T10:51:00","32","2013-07-03T09:17:00"
"1","2013-07-03T11:21:00","32","2013-07-03T09:47:00"
"1","2013-07-03T11:51:00","32","2013-07-03T10:17:00"
"1","2013-07-03T12:21:00","32","2013-07-03T10:47:00"
"1","2013-07-03T12:51:00","32","2013-07-03T11:17:00"
"1","2013-07-03T13:21:00","32","2013-07-03T11:47:00"
"1","2013-07-03T13:51:00","32","2013-07-03T12:17:00"
"1","2013-07-03T14:21:00","32","2013-07-03T12:47:00"
"1","2013-07-03T14:51:00","32","2013-07-03T13:17:00"
"1","2013-07-03T15:18:00","32","2013-07-03T13:44:00"
"1","2013-07-03T15:52:00","32","2013-07-03T14:11:00"
"1","2013-07-03T15:40:00","32v1","2013-07-03T14:33:00"
"1","2013-07-03T16:22:00","32","2013-07-03T14:41:00"
"1","2013-07-03T16:09:00","32v1","2013-07-03T15:02:00"
"1","2013-07-03T16:52:00","32","2013-07-03T15:04:00"
"1","2013-07-03T17:22:00","32","2013-07-03T15:31:00"
"1","2013-07-03T16:38:00","32v1","2013-07-03T15:31:00"
"1","2013-07-03T17:09:00","32v1","2013-07-03T16:00:00"
"1","2013-07-03T17:52:00","32","2013-07-03T16:01:00"
"1","2013-07-03T17:39:00","32v1","2013-07-03T16:29:00"
"1","2013-07-03T18:22:00","32","2013-07-03T16:35:00"
"1","2013-07-03T18:09:00","32v1","2013-07-03T16:59:00"
"1","2013-07-03T18:09:00","32v1","2013-07-03T16:59:00"
"1","2013-07-03T18:46:00","32","2013-07-03T17:04:00"
